Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
36790488,OMOP4778900,{11 (varenicline 0.5 MG Delayed Release Oral Tablet) / 14 (varenicline 1 MG Delayed Release Oral Tablet) } Pack,Clinical Pack,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
36777125,OMOP4778899,{11 (varenicline 0.5 MG Delayed Release Oral Tablet) / 14 (varenicline 1 MG Delayed Release Oral Tablet) } Pack box of 1,Clinical Pack Box,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
36790487,OMOP4778898,{11 (varenicline 0.5 MG Delayed Release Oral Tablet) / 14 (varenicline 1 MG Delayed Release Oral Tablet) } Pack [Champix],Branded Pack,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
36777124,OMOP4778897,{11 (varenicline 0.5 MG Delayed Release Oral Tablet) / 14 (varenicline 1 MG Delayed Release Oral Tablet) } Pack [Champix] box of 1,Branded Pack Box,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
36777015,OMOP4778896,{11 (varenicline 0.5 MG Delayed Release Oral Tablet) / 14 (varenicline 1 MG Delayed Release Oral Tablet) } Pack [Champix] box of 1 by Pfizer,Marketed Product,Standard,8/31/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
42731747,OMOP2721908,{11 (varenicline 0.5 MG Oral Tablet) / 11 (varenicline 1 MG Oral Tablet) } Pack,Clinical Pack,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
44136654,OMOP1131285,{11 (varenicline 0.5 MG Oral Tablet) / 11 (varenicline 1 MG Oral Tablet) } Pack [Gd-Varenicline],Branded Pack,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
44136741,OMOP1131372,{11 (varenicline 0.5 MG Oral Tablet) / 11 (varenicline 1 MG Oral Tablet) } Pack [Gd-Varenicline] by Pfizer,Marketed Product,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
40702803,OMOP4754419,{11 (varenicline 0.5 MG Oral Tablet) / 14 (varenicline 1 MG Oral Tablet) / 28 (varenicline 1 MG Oral Tablet) } Pack,Clinical Pack,Standard,6/3/2018,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
36070575,OMOP4997373,{11 (varenicline 0.5 MG Oral Tablet) / 14 (varenicline 1 MG Oral Tablet) / 28 (varenicline 1 MG Oral Tablet) } Pack,Clinical Pack,Standard,8/16/2020,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'varenicline'"">1"
