Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
40313661,151159008,Nicotine replacement therapy,Procedure,Non-Standard,4/29/2022,12/30/2099,0,0,0,0,Procedure,SNOMED,
44509537,E98.2,Nicotine replacement therapy using nicotine gum,Procedure,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Procedure,OPCS4,
44791437,2.80801E+14,Nicotine replacement therapy using nicotine gum,Procedure,Non-Standard,4/1/2007,12/30/2099,"1,030","1,030",760,760,Procedure,SNOMED,
44509538,E98.3,Nicotine replacement therapy using nicotine inhalator,Procedure,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Procedure,OPCS4,
44793017,2.80811E+14,Nicotine replacement therapy using nicotine inhalator,Procedure,Non-Standard,4/1/2007,12/30/2099,"3,130","3,130","2,300","2,300",Procedure,SNOMED,
4193015,390905006,Nicotine replacement therapy provided free,Procedure,Non-Standard,1/30/2003,4/29/2022,"6,790","6,790","3,580","3,580",Procedure,SNOMED,
40565028,389912007,Nicotine replacement therapy provided free,Procedure,Non-Standard,1/30/2003,1/30/2003,0,0,0,0,Procedure,SNOMED,
40560167,390646003,Nicotine replacement therapy provided free,Procedure,Non-Standard,1/30/2003,1/30/2003,0,0,0,0,Procedure,SNOMED,
40378941,182828001,Nicotine replacement therapy,Procedure,Non-Standard,1/30/2002,1/30/2002,0,0,0,0,Procedure,SNOMED,
4285436,68540007,Nicotine,Substance,Non-Standard,1/30/2002,12/30/2099,90,90,0,0,Observation,SNOMED,
4300768,77544001,Nicotine polacrilex,Substance,Non-Standard,1/30/2002,12/30/2099,0,0,0,0,Observation,SNOMED,
4159975,373462006,Nicotine agent,Substance,Non-Standard,7/30/2002,1/30/2019,0,0,0,0,Observation,SNOMED,
3526479,2.89331E+14,Nicotine replacement therapy using nicotine gum,Undefined,Non-Standard,4/1/2007,4/1/2007,0,0,0,0,Observation,SNOMED,
3526480,2.89341E+14,Nicotine replacement therapy using nicotine inhalator,Undefined,Non-Standard,4/1/2007,4/1/2007,0,0,0,0,Observation,SNOMED,
44206578,OMOP3083301,10000 MG Nicotine 0.000000000001 MG/MG Oral Tablet,Quant Clinical Drug,Standard,10/5/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
44206696,OMOP3083419,10000 MG Nicotine 0.0001 MG/MG Oral Tablet,Quant Clinical Drug,Standard,10/5/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41449433,OMOP2647395,1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution,Quant Clinical Drug,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41447337,OMOP2645299,1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution Box of 1,Quant Clinical Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41449343,OMOP2647305,1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution [Metaginkgo],Quant Branded Drug,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41449692,OMOP2647654,1000 ML Claviceps Purpurea Sclerotium 0.00000005 MG/ML / Espeletia 0.00000005 MG/ML / Ginkgo biloba extract 0.00000005 MG/ML / Lead 0.00000000005 MG/ML / Nicotine 0.00000005 MG/ML Oral Solution [Metaginkgo] Box of 1,Quant Branded Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41447917,OMOP2645879,1000 ML Claviceps Purpurea Sclerotium 0.01 MG/ML / Espeletia 0.01 MG/ML / Ginkgo biloba extract 0.00005 MG/ML / Lead 0.000003 MG/ML / Nicotine 0.0002 MG/ML Oral Solution,Quant Clinical Drug,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41449434,OMOP2647396,1000 ML Claviceps Purpurea Sclerotium 0.01 MG/ML / Espeletia 0.01 MG/ML / Ginkgo biloba extract 0.00005 MG/ML / Lead 0.000003 MG/ML / Nicotine 0.0002 MG/ML Oral Solution Box of 1,Quant Clinical Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41448310,OMOP2646272,1000 ML Claviceps Purpurea Sclerotium 0.01 MG/ML / Espeletia 0.01 MG/ML / Ginkgo biloba extract 0.00005 MG/ML / Lead 0.000003 MG/ML / Nicotine 0.0002 MG/ML Oral Solution [Metaginkgo],Quant Branded Drug,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
41447403,OMOP2645365,1000 ML Claviceps Purpurea Sclerotium 0.01 MG/ML / Espeletia 0.01 MG/ML / Ginkgo biloba extract 0.00005 MG/ML / Lead 0.000003 MG/ML / Nicotine 0.0002 MG/ML Oral Solution [Metaginkgo] Box of 1,Quant Branded Box,Standard,8/23/2017,12/30/2099,0,0,0,0,Drug,RxNorm Extension,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'nicotine; chewing gum, inhalant, nasal, sublingual, transdermal'"">1"
