Id,Name,value_as_concept_name,value_as_concept_id,Domain,non-smoker,former smoker,current smoker,cigarette,e-cigarette,cigar,hookah,smokeless,intensity daily,pack-years,duration
903651,Currently doesn't use tobacco or its derivatives,null,null,Observation,0,1,0,,,,,,Note: Trival: <1 Light: 1-9 Moderate: 10-19 Heavy: 20-39 Very heavy: 40+,,
903651,Currently doesn't use tobacco or its derivatives,Currently doesn't use tobacco or its derivatives,903651,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-smoker,4310250,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,No matching concept,0,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-tobacco user,45765917,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,History of tobacco use,43530634,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,History of smoking,46274087,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-cigarette smoker,4092281,Observation,0,1,0,1,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Stopped smoking,4052032,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-cigar smoker,4052949,Observation,0,1,0,,,1,,,,,
903651,Currently doesn't use tobacco or its derivatives,Former heavy tobacco smoker,762500,Observation,0,1,0,,,,,,heavy,,
903651,Currently doesn't use tobacco or its derivatives,Former light tobacco smoker,762501,Observation,0,1,0,,,,,,light,,
903651,Currently doesn't use tobacco or its derivatives,Ex-smoker for less than 1 year,42536346,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-light cigarette smoker (1-9/day),4145798,Observation,0,1,0,1,,,,,light,,
903651,Currently doesn't use tobacco or its derivatives,Non-smoker,4222303,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-heavy cigarette smoker (20-39/day),4141783,Observation,0,1,0,1,,,,,heavy,,
903651,Currently doesn't use tobacco or its derivatives,Ex-smoker for more than 1 year,46270534,Observation,0,1,0,,,,,,,,
903651,Currently doesn't use tobacco or its derivatives,Ex-trivial cigarette smoker (<1/day),4148415,Observation,0,1,0,1,,,,,trival,,
903651,Currently doesn't use tobacco or its derivatives,Ex-very heavy cigarette smoker (40+/day),4141784,Observation,0,1,0,1,,,,,very heavy,,
903651,Currently doesn't use tobacco or its derivatives,Ex-moderate cigarette smoker (10-19/day),4141782,Observation,0,1,0,1,,,,,moderate,,
