Id,Code,Name,Class,Standard Concept Caption,Valid Start Date,Valid End Date,RC,DRC,PC,DPC,Domain,Vocabulary,Ancestors
46272634,711028002,Counseling about tobacco use,Procedure,Standard,7/30/2015,12/30/2099,"3,617,010","3,618,630","1,583,140","1,584,170",Procedure,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
3274920,711028002,Counselling about tobacco use,Procedure,Non-Standard,7/30/2015,12/30/2099,0,0,0,0,Procedure,Nebraska Lexicon,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
42505701,Z71.6,Persons encountering health services for tobacco abuse counselling,KCD7 code,Non-Standard,6/30/2017,12/30/2099,40,40,0,0,Procedure,KCD7,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
2514535,99407,"Smoking and tobacco use cessation counseling visit; intensive, greater than 10 minutes",CPT4,Non-Standard,3/31/2008,12/30/2099,"2,356,040","2,356,040","1,228,760","1,228,760",Observation,CPT4,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
2514534,99406,"Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes",CPT4,Non-Standard,3/31/2008,12/30/2099,"15,950,040","15,950,040","7,224,620","7,224,620",Observation,CPT4,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
2617959,G9016,"Smoking cessation counseling, individual, in the absence of or in addition to any other evaluation and management service, per session (6-10 minutes) [demo project code only]",HCPCS,Non-Standard,12/31/2000,12/30/2099,"271,650","271,650","95,150","95,150",Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
1435207,Z71.6,Tobacco abuse counselling,ICD10 code,Non-Standard,12/31/2015,12/30/2099,0,0,0,0,Procedure,ICD10CN,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
1435208,Z71.600,Tobacco abuse counselling,ICD10 code,Non-Standard,12/31/2015,12/30/2099,0,0,0,0,Procedure,ICD10CN,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45542453,Z71.6,Tobacco abuse counselling,ICD10 code,Non-Standard,4/30/1990,12/30/2099,"314,540","314,540",0,0,Procedure,ICD10,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45514828,ZV6D800,[V]Tobacco abuse counselling,Read,Non-Standard,12/31/1969,12/30/2099,0,0,0,0,Procedure,Read,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
44813532,4.67031E+14,[V]Tobacco abuse counselling,Context-dependent,Non-Standard,3/31/2009,9/30/2016,0,0,0,0,Observation,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40664492,G0437,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes (Deprecated)",HCPCS,Non-Standard,12/31/2010,9/29/2016,"168,500","168,500",0,0,Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40664586,G0436,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes (Deprecated)",HCPCS,Non-Standard,12/31/2010,9/29/2016,"846,420","846,420",0,0,Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40664474,C9802,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes (Deprecated)",HCPCS,Non-Standard,1/8/2011,11/10/2014,100,100,90,90,Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40664513,C9801,"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes (Deprecated)",HCPCS,Non-Standard,1/8/2011,11/10/2014,460,460,450,450,Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
2617852,G8453,"Tobacco use cessation intervention, counseling (Deprecated)",HCPCS,Standard,12/31/1969,11/10/2014,"1,620","1,620","1,030","1,030",Observation,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Counseling about tobacco use'"">1"
2617450,G0376,SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTENSIVE MINUTES (Deprecated),HCPCS,Non-Standard,12/31/1969,10/29/2011,"26,320","26,320","20,000","20,000",Observation,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
2617449,G0375,SMOKING AND TOBACCO USE CESSATION COUNSELING VISIT; INTERMEDIATE 3 MINUTES UP TO 10 MINUTES (Deprecated),HCPCS,Non-Standard,12/31/1969,10/29/2011,"91,340","91,340",0,0,Procedure,HCPCS,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40520042,316496006,[V]Tobacco abuse counseling,Context-dependent,Non-Standard,1/30/2002,1/30/2009,0,0,0,0,Observation,SNOMED,"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
